"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1966.HU.56N_60N.joa","A1966HUL.TXT",1966,"A section of 13 stations from 56.078 degrees North to 60.14 degrees North, 42.02 degrees West to 35.386 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.57N_60N.joa","A1966HUM.TXT",1966,"A section of 11 stations from 57.27 degrees North to 60.88 degrees North, 59.011 degrees West to 49.375 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.58N_61N.joa","A1966HUN.TXT",1966,"A section of 10 stations from 58.983 degrees North to 61.546 degrees North, 59.35 degrees West to 50.73 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.HU.61N.joa","A1966HUO.TXT",1966,"A section of 8 stations along 61N, 59.295 degrees West to 51.275 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 6 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1966.JP.16N_19N.joa","A1966JPA.TXT",1966,"A section of 4 stations from 16.15 degrees North to 19.05 degrees North, 84.016 degrees West to 80.55 degrees West. All have temperature, salinity, oxygen. Most have phosphate. None have silicate, nitrate. There is at least 1 full depth cast. ","J. E. Pillsbury","JP","31JP","Atlantic","South-Western "
"natl.1966.JP.1N_11N.joa","A1966JPB.TXT",1966,"A section of 8 stations from 1.966 degrees North to 11.285 degrees North, 67.635 degrees West to 46.95 degrees West. All have temperature, salinity. Some have oxygen, phosphate. None have silicate, nitrate. There are at least 4 full depth casts. ","J. E. Pillsbury","JP","31JP","Atlantic","Southern"
"natl.1966.JP.21N_26N.joa","A1966JPC.TXT",1966,"A section of 6 stations from 21.666 degrees North to 26.041 degrees North, 86.05 degrees West to 78.5 degrees West. All have temperature, salinity. Most have oxygen. Some have phosphate. None have silicate, nitrate. There are at least 2 full depth casts. ","J. E. Pillsbury","JP","31JP","Atlantic","South-Western "
"natl.1966.JP.49W_47W.joa","A1966JPD.TXT",1966,"A section of 5 stations from 2.116 degrees North to 5.533 degrees North, 49.766 degrees West to 47.7 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 4 full depth casts. ","J. E. Pillsbury","JP","31JP","Atlantic","Southern"
"natl.1966.JP.4N_12N.joa","A1966JPE.TXT",1966,"A section of 6 stations from 4.483 degrees North to 12.466 degrees North, 66.716 degrees West to 47.7 degrees West. All have temperature, salinity. Most have oxygen, phosphate. None have silicate, nitrate. There are at least 4 full depth casts. ","J. E. Pillsbury","JP","31JP","Atlantic","Southern"
"natl.1966.JP.79W_74W.joa","A1966JPF.TXT",1966,"A section of 11 stations from 9.733 degrees North to 19.533 degrees North, 79.55 degrees West to 74.5 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 5 full depth casts. ","J. E. Pillsbury","JP","31JP","Atlantic","South-Western "
"natl.1967.AN.35N_36N.joa","A1967ANA.TXT",1967,"A section of 10 stations from 35.65 degrees North to 36.566 degrees North, 66.1 degrees West to 64.7 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Southern"
"natl.1967.AN.36N.joa","A1967ANB.TXT",1967,"A section of 9 stations along 36N, 67.816 degrees West to 66.7 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Central-Western"
"natl.1967.AN.65W.joa","A1967ANC.TXT",1967,"A section of 10 stations from 35.65 degrees North to 36.428 degrees North, along 65W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Southern"
"natl.1967.AN.65W_64W.joa","A1967AND.TXT",1967,"A section of 11 stations from 35.386 degrees North to 37.1 degrees North, 65.75 degrees West to 64.783 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Southern"
